STT,Hán Tự,Pinyin,Tiếng Việt,,,Cau,pinyi,nghia tieng viet
1,时间,shíjiān,thời gian,,,我没有时间做这件事情。,wǒ méiyǒu shíjiān zuò zhè jiàn shìqing.,Tôi không có thời gian làm việc này.
2,小时,xiǎoshí,Tiếng / Giờ đồng hồ,,,我一天上班八个小时。,wǒ yì tiān shàngbān bā gè xiǎoshí.,Tôi đi làm 8 tiếng một ngày.
3,分钟,fēnzhōng,Phút,,,他测试功能测了五分钟。,tā cèshì gōngnéng cè le wǔ fēnzhōng.,Anh ấy test chức năng 5 phút.
4,秒,miǎo,Giây,,,他锁螺丝锁了三十秒。,tā suǒ luósī suǒ le sānshí miǎo.,Anh ấy siết ốc 30 giây.
5,点,diǎn,Giờ (mốc thời gian),,,现在几点？,xiànzài jǐ diǎn?,Bây giờ mấy giờ rồi?
6,半,bàn,Rưỡi / Nửa,,,八点半。,bā diǎn bàn.,8h rưỡi.
7,差,chā,Kém,,,八点差十五分钟。,bā diǎn chà shíwǔ fēnzhōng.,8h kém 15 phút.
8,早上,zǎoshang,Buổi sáng sớm,,,早上八点。,zǎoshang bā diǎn.,8h sáng.
9,上午,shàngwǔ,Buổi sáng,,,上午好。,shàngwǔ hǎo.,Chào buổi sáng.
10,中午,zhōngwǔ,Buổi trưa,,,中午好。,zhōngwǔ hǎo.,Chào buổi trưa.
11,下午,xiàwǔ,Buổi chiều,,,下午好。,xiàwǔ hǎo.,Chào buổi chiều.
12,晚上,wǎnshàng,Buổi tối,,,晚上十点。,wǎnshang shí diǎn.,10h tối.
13,白天,báitiān,Ban ngày,,,白天我很忙。,báitiān wǒ hěn máng.,Ban ngày tôi rất bận.
14,夜里,yèli,Ban đêm,,,夜里不用加班。,yèli bú yòng jiābān.,Ban đêm không cần tăng ca.
15,白班,báibān,Ca ngày,,,我想换白班。,wǒ xiǎng huàn báibān.,Tôi muốn đổi sang ca ngày.
16,夜班,yèbān,Ca đêm,,,我上过夜班。,wǒ shàng guò yèbān.,Tôi đã từng làm ca đêm.
17,加班,jiābān,Tăng ca,,,这个星期六，谁想加班？,"zhè ge xīngqīliù, shuí xiǎng jiābān?","Thứ bảy tuần này, ai muốn tăng ca?"
18,上班,shàngbān,Đi làm / Vào ca,,,每天上班都要打卡。,měitiān shàngbān dōu yào dǎkǎ.,Hàng ngày đi làm đều cần quẹt thẻ.
19,下班,xiàbān,Tan ca / Tan làm,,,我刚下班。,wǒ gāng xiàbān.,Tôi vừa mới tan ca.
20,休息,xiūxi,Nghỉ ngơi,,,快要休息了。,kuài yào xiūxi le.,Sắp đến giờ nghỉ rồi.
21,天,tiān,Ngày,,,每天我们开一次会。,měitiān wǒmen kāi yí cì huì.,Mỗi ngày chúng tôi họp 1 lần.
22,号,hào,Ngày (mốc ngày),,,今天几号？,jīntiān jǐ hào?,Hôm nay ngày mấy?
23,昨天,zuótiān,Hôm qua,,,昨天她来了。,zuótiān tā lái le.,Hôm qua cô ấy đến rồi.
24,今天,jīntiān,Hôm nay,,,今天几号？,jīntiān jǐ hào?,Hôm nay ngày mấy?
25,明天,míngtiān,Ngày mai,,,明天我去北宁。,míngtiān wǒ qù běiníng.,Ngày mai tôi đi Bắc Ninh.
26,前天,qiántiān,Hôm kia,,,前天他没来工厂。,qiántiān tā méi lái gōngchǎng.,Hôm kia anh ấy không đến xưởng.
27,后天,hòutiān,Ngày kia,,,后天我们要开会。,hòutiān wǒmen yào kāihuì.,Ngày kia chúng ta phải họp.
28,每天,měitiān,Mỗi ngày / Hằng ngày,,,每天上班都要打卡。,měitiān shàngbān dōu yào dǎkǎ.,Hàng ngày đi làm đều cần quẹt thẻ.
29,星期,xīngqī,Thứ / Tuần,,,这个星期六，谁想加班？,"zhè ge xīngqīliù, shuí xiǎng jiābān?","Thứ bảy tuần này, ai muốn tăng ca?"
30,周末,zhōumò,Cuối tuần,,,周末我不上班。,zhōumò wǒ bú shàngbān.,Cuối tuần tôi không đi làm.
31,月,yuè,Tháng,,,几个月？,jǐ gè yuè?,Mấy tháng?
32,月初,yuèchū,Đầu tháng,,,月初工作很多。,yuèchū gōngzuò hěn duō.,Đầu tháng công việc rất nhiều.
33,月中,yuè zhōng,Giữa tháng,,,我们月中发工资。,wǒmen yuèzhōng fā gōngzī.,Chúng tôi phát lương vào giữa tháng.
34,月底,yuèdǐ,Cuối tháng,,,月底要交报告。,yuèdǐ yào jiāo bàogào.,Cuối tháng phải nộp báo cáo.
35,年,nián,Năm,,,你那年出生？,nǐ nà nián chūshēng?,Bạn sinh năm nào?
36,去年,qùnián,Năm ngoái,,,去年我在越南工作。,qùnián wǒ zài yuènán gōngzuò.,Năm ngoái tôi làm việc ở Việt Nam.
37,今年,jīnnián,Năm nay,,,我今年三十五岁。,wǒ jīnnián sānshíwǔ suì.,Tôi năm nay 35 tuổi.
38,明年,míngnián,Năm sau,,,明年我想去中国。,míngnián wǒ xiǎng qù zhōngguó.,Năm sau tôi muốn đi Trung Quốc.
39,生日,shēngrì,Sinh nhật,,,你的生日是几月几号？,nǐ de shēngrì shì jǐ yuè jǐ hào?,Sinh nhật của bạn là ngày nào tháng nào?
40,现在,xiànzài,Bây giờ,,,现在几点？,xiànzài jǐ diǎn?,Bây giờ mấy giờ rồi?
41,刚,gāng,Vừa mới,,,我刚开机器。,wǒ gāng kāi jīqì.,Tôi vừa mới mở máy.
42,马上,mǎshàng,Ngay lập tức,,,我马上处理这个问题。,wǒ mǎshàng chǔlǐ zhège wèntí.,Tôi xử lý vấn đề này ngay lập tức.
43,正在,zhèngzài,Đang,,,经理正在开会。,jīnglǐ zhèngzài kāihuì.,Giám đốc đang họp.
44,快要,kuàiyào,Sắp... rồi,,,机器快要修好了。,jīqì kuài yào xiū hǎo le.,Máy sắp sửa xong rồi.
45,已经,yǐjīng,Đã... rồi,,,机器已经修好了。,jīqì yǐjīng xiū hǎo le.,Máy đã sửa xong rồi.
46,先,xiān,Trước,,,我先去工厂。,wǒ xiān qù gōngchǎng.,Tôi đi xuống xưởng trước.
47,再,zài,Rồi / Sau đó,,,先洗手再吃饭。,xiān xǐshǒu zài chīfàn.,Rửa tay rồi ăn cơm.
48,然后,ránhòu,Sau đó,,,先洗手，然后再吃饭。,"xiān xǐshǒu, ránhòu zài chīfàn.","Rửa tay trước, sau đó mới ăn cơm."
49,以前,yǐqián,Trước đây / Trước khi,,,来中国以前，我在越南工作。,"lái zhōngguó yǐqián, wǒ zài yuènán gōngzuò.","Trước khi đến Trung Quốc, tôi làm việc ở Việt Nam."
50,以后,yǐhòu,Sau này,,,以后有什么问题可以问我。,yǐhòu yǒu shénme wèntí kěyǐ wèn wǒ.,Sau này có vấn đề gì có thể hỏi tôi.
51,准时,zhǔnshí,Đúng giờ,,,我不能准时完成这个工作。,wǒ bù néng zhǔnshí wánchéng zhè ge gōngzuò.,Tôi không thể hoàn thành công việc này đúng giờ.
52,具体,jùtǐ,Cụ thể,,,具体是什么时候？,jùtǐ shì shénme shíhou?,Cụ thể là lúc nào?
53,连续,liánxù,Liên tục,,,这台机器能连续运行八个小时。,zhè tái jīqì néng liánxù yùnxíng bā gè xiǎoshí.,Máy này có thể chạy liên tục 8 tiếng.
54,同时,tóngshí,Đồng thời,,,这两台机器同时运行。,zhè liǎng tái jīqì tóngshí yùnxíng.,Hai cỗ máy này vận hành đồng thời.
55,同步,tóngbù,Đồng bộ,,,机台要同步参数。,jītái yào tóngbù cānshù.,Máy móc cần đồng bộ thông số.
56,方向,fāngxiàng,Phương hướng,,,你锁错方向了。,nǐ suǒ cuò fāngxiàng le.,Bạn vặn sai hướng rồi.
57,位置,wèizhi,Vị trí,,,不要放错位置。,bú yào fàng cuò wèizhì.,Đừng đặt sai vị trí.
58,上面,shàngmiàn,Bên trên,,,上面有我的工具。,shàngmiàn yǒu wǒ de gōngjù.,Phía trên có dụng cụ của tôi.
59,下面,xiàmiàn,Bên dưới,,,桌子下有箱子。,zhuōzi xià yǒu xiāngzi.,Dưới bàn có thùng.
60,前面,qiánmiàn,Phía trước,,,前面有一个人。,qiánmiàn yǒu yí gè rén.,Phía trước có một người.
61,后面,hòumiàn,Phía sau,,,仓库在车间后面。,cāngkù zài chējiān hòumiàn.,Nhà kho ở phía sau nhà xưởng.
62,左边,zuǒbian,Bên trái,,,零件在机器左边。,língjiàn zài jīqì zuǒbian.,Linh kiện ở bên trái máy.
63,右边,yòubian,Bên phải,,,工具箱在右边。,gōngjùxiāng zài yòubian.,Hộp dụng cụ ở bên phải.
64,中间,zhōngjiān,Ở giữa,,,主管站在中间。,zhǔguǎn zhàn zài zhōngjiān.,Chủ quản đứng ở giữa.
65,旁边,pángbiān,Bên cạnh,,,请放在我旁边。,qǐng fàng zài wǒ pángbiān.,Vui lòng đặt ở bên cạnh tôi.
66,里面,lǐmiàn,Bên trong,,,箱子里面有材料。,xiāngzi lǐmiàn yǒu cáiliào.,Bên trong thùng có vật liệu.
67,外面,wàimiàn,Bên ngoài,,,外面有人等你。,wàimiàn yǒu rén děng nǐ.,Bên ngoài có người đợi bạn.
68,对面,duìmiàn,Đối diện,,,办公室在工厂对面。,bàngōngshì zài gōngchǎng duìmiàn.,Văn phòng đối diện nhà máy.
69,这边,zhèbiān,Bên này,,,请走这边。,qǐng zǒu zhèbiān.,Xin mời đi bên này.
70,那边,nàbian,Bên kia,,,物料在那边。,wùliào zài nàbiān.,Vật liệu ở bên kia.
71,哪里,nǎlǐ,Ở đâu,,,你的部门在哪里？,nǐ de bùmén zài nǎlǐ?,Bộ phận của bạn ở đâu?
72,远,yuǎn,Xa,,,我家离工厂很远。,wǒ jiā lí gōngchǎng hěn yuǎn.,Nhà tôi cách nhà máy rất xa.
73,近,jìn,Gần,,,仓库离这里很近。,cāngkù lí zhèlǐ hěn jìn.,Nhà kho cách đây rất gần.
74,高,gāo,Cao,,,不要放太高。,bú yào fàng tài gāo.,Đừng đặt quá cao.
75,低,dī,Thấp,,,放低下来。,fàng dī xiàlái.,Đặt thấp xuống.
76,经理,jīnglǐ,Giám đốc,,,经理正在开会。,jīnglǐ zhèngzài kāihuì.,Giám đốc đang họp.
77,总经理,zǒngjīnglǐ,Tổng giám đốc,,,总经理明天来车间。,zǒngjīnglǐ míngtiān lái chējiān.,Tổng giám đốc ngày mai đến xưởng.
78,副经理,fùjīnglǐ,Phó giám đốc,,,副经理正在开会。,fùjīnglǐ zhèngzài kāihuì.,Phó giám đốc đang họp.
79,科长,kēzhǎng,Trưởng phòng,,,科长安排了工作。,kēzhǎng ānpái le gōngzuò.,Trưởng phòng đã sắp xếp công việc.
80,主管,zhǔguǎn,Chủ quản,,,没有主管的同意，不可以加班。,"méiyǒu zhǔguǎn de tóngyì, bù kěyǐ jiābān.",Không có sự đồng ý của chủ quản thì không được tăng ca.
81,厂长,chǎngzhǎng,Xưởng trưởng,,,你的厂长是谁？,nǐ de chǎngzhǎng shì shuí?,Xưởng trưởng của bạn là ai?
82,组长,zǔzhǎng,Tổ trưởng,,,你好阿草组长。,nǐhǎo ā cǎo zǔzhǎng.,Chào tổ trưởng Thảo.
83,线长,xiàn cháng,Chuyền trưởng,,,线长说要加班。,xiàncháng shuō yào jiābān.,Chuyền trưởng nói phải tăng ca.
84,工程师,gōngchéngshī,Kỹ sư,,,我是工程师。,wǒ shì gōngchéngshī.,Tôi là kỹ sư.
85,人员,rényuán,Nhân viên (nói chung),,,这些人员是我的朋友。,zhèxiē rényuán shì wǒ de péngyou.,Những nhân viên này là bạn của tôi.
86,员工,yuángōng,Nhân viên,,,新员工不会用这个机器。,xīn yuángōng bú huì yòng zhè ge jīqì.,Nhân viên mới chưa biết dùng máy này.
87,工人,gōngrén,Công nhân,,,我做过工人。,wǒ zuò guò gōngrén.,Tôi đã từng làm công nhân rồi.
88,同事,tóngshì,Đồng nghiệp,,,这是我的新同事。,zhè shì wǒ de xīn tóngshì.,Đây là đồng nghiệp mới của tôi.
89,客户,kèhù,Khách hàng,,,我昨天给客户发邮件了。,wǒ zuótiān gěi kèhù fā yóujiàn le.,Hôm qua tôi đã gửi email cho khách hàng rồi.
90,供应商,gōngyìngshāng,Nhà cung ứng,,,给供应商进来。,gěi gōngyìngshāng jìnlái.,Cho nhà cung ứng vào.
91,朋友,péngyou,Bạn bè,,,这些人员是我的朋友。,zhèxiē rényuán shì wǒ de péngyou.,Những nhân viên này là bạn của tôi.
92,部门,bùmén,Bộ phận,,,你是哪个部门的？,nǐ shì nǎ ge bùmén de?,Bạn ở bộ phận nào?
93,岗位,gǎngwèi,Vị trí công tác,,,他打算下个月换岗位。,tā dǎsuàn xià gè yuè huàn gǎngwèi.,Anh ấy dự định tháng sau đổi vị trí.
